countryColumn,yearColumn,valueGdpColumn
AUS,2005,760939.706278785
AUS,2006,818234.256268764
AUS,2007,985138.983141616
AUS,2008,1057010.78194699
AUS,2009,1014835.56636346
AUS,2010,1299463.65621896
AUS,2011,1546689.24961551
AUS,2012,1590707.60953861
AUS,2013,1543216.49130225
AUS,2014,1464256.51477469
AUS,2015,1248853.94676543
AUT,2005,315966.559717455
AUT,2006,335981.275583617
AUT,2007,388671.229801899
AUT,2008,430310.045043395
AUT,2009,400148.393469131
AUT,2010,391892.721625863
AUT,2011,431120.462080614
AUT,2012,409425.024476612
AUT,2013,430068.816810262
AUT,2014,441995.977344703
AUT,2015,381805.660454784
BEL,2005,387356.116002587
BEL,2006,409792.119587375
BEL,2007,471796.566836108
BEL,2008,518644.88958875
BEL,2009,484523.847561204
BEL,2010,483548.000450304
BEL,2011,527008.639684162
BEL,2012,497883.96158778
BEL,2013,520925.594728338
BEL,2014,530808.206110668
BEL,2015,455940.327773582
CAN,2005,1169393.68506878
CAN,2006,1315458.10291767
CAN,2007,1464978.55411838
CAN,2008,1549073.13690208
CAN,2009,1371151.80548351
CAN,2010,1613464.08286844
CAN,2011,1788647.3490977
CAN,2012,1824289.32293022
CAN,2013,1842627.23624171
CAN,2014,1799268.60469847
CAN,2015,1552521.38616431
CZE,2005,136280.593187488
CZE,2006,155463.924077551
CZE,2007,189227.358466067
CZE,2008,235719.042551615
CZE,2009,206179.982164402
CZE,2010,207477.857918919
CZE,2011,227948.345372551
CZE,2012,207376.427020815
CZE,2013,209402.448562723
CZE,2014,207818.330723835
CZE,2015,186829.940545759
DNK,2005,264466.867103225
DNK,2006,282885.95942206
DNK,2007,319423.311456673
DNK,2008,353358.907411363
DNK,2009,321243.373506562
DNK,2010,321995.350346501
DNK,2011,344003.179906093
DNK,2012,327148.873814928
DNK,2013,343584.366395599
DNK,2014,352993.612256428
DNK,2015,302673.030409011
FIN,2005,204430.93070686
FIN,2006,216541.364702104
FIN,2007,255371.332999379
FIN,2008,283752.883875929
FIN,2009,251484.004150905
FIN,2010,247799.80001192
FIN,2011,273674.333256876
FIN,2012,256706.334624191
FIN,2013,269980.176828532
FIN,2014,272609.193465573
FIN,2015,232850.778398485
FRA,2005,2196071.48186838
FRA,2006,2318474.39787942
FRA,2007,2657075.04947731
FRA,2008,2918489.76452924
FRA,2009,2690061.58287293
FRA,2010,2642609.38089783
FRA,2011,2861409.17905624
FRA,2012,2683823.85062714
FRA,2013,2811078.40442722
FRA,2014,2852164.76435227
FRA,2015,2438207.79252467
DEU,2005,2861339.10361638
DEU,2006,3002291.94082352
DEU,2007,3439774.55319871
DEU,2008,3752503.02120335
DEU,2009,3417800.82601345
DEU,2010,3417094.34537014
DEU,2011,3757699.60589695
DEU,2012,3543982.09417007
DEU,2013,3752514.40930799
DEU,2014,3898725.14199363
DEU,2015,3381389.19480646
GRC,2005,247776.839029001
GRC,2006,273303.679273805
GRC,2007,318481.372033757
GRC,2008,354473.78313253
GRC,2009,329980.539506531
GRC,2010,299361.557523062
GRC,2011,287797.923556519
GRC,2012,245670.540823905
GRC,2013,239862.069363839
GRC,2014,237029.496464919
GRC,2015,196591.345397761
IRL,2005,211643.770581505
IRL,2006,232071.530632598
IRL,2007,269903.905217084
IRL,2008,275048.968103417
IRL,2009,236302.289527022
IRL,2010,222134.027905622
IRL,2011,237907.798513947
IRL,2012,225128.536003104
IRL,2013,238890.335772393
IRL,2014,259101.521232376
IRL,2015,291092.477422174
KOR,2005,898137.223656765
KOR,2006,1011797.4401832
KOR,2007,1122679.20054199
KOR,2008,1002219.08297827
KOR,2009,901934.953364711
KOR,2010,1094499.3500637
KOR,2011,1202463.6555096
KOR,2012,1222807.25626178
KOR,2013,1305604.96099952
KOR,2014,1411333.88196976
KOR,2015,1382764.02711382
NZL,2005,114722.310429051
NZL,2006,111612.029653917
NZL,2007,137318.61024859
NZL,2008,133277.853024509
NZL,2009,121340.365312263
NZL,2010,146583.813337906
NZL,2011,168461.958380833
NZL,2012,176193.647491177
NZL,2013,190784.38061748
NZL,2014,200834.057139634
NZL,2015,177208.110322704
POL,2005,306126.782307309
POL,2006,344753.312593171
POL,2007,429055.799418342
POL,2008,533806.483532995
POL,2009,439790.240315986
POL,2010,479321.460551189
POL,2011,528823.618356392
POL,2012,500354.363616376
POL,2013,524231.502899592
POL,2014,545381.86525968
